invoice_no,client_name,client_email,amount,due_date,follow_up_count,status
INV-2025-0001,Rahul Sharma,rahul.sharma@polycab.com,14012,2026-04-21,1,PENDING
INV-2025-0002,Dinesh Patel,dinesh.patel@globalinfotech.com,8070,2026-04-27,2,PENDING
INV-2025-0003,Nisha Naidu,nisha.naidu@icicibank.co.in,61463,2026-04-23,2,PENDING
INV-2025-0004,Ritu Agarwal,ritu.agarwal@finolex.in,16029,2026-05-07,1,PENDING
INV-2025-0005,Anjali Pai,anjali.pai@havells.com,298461,2026-04-13,4,PENDING
INV-2025-0006,Vivek Shetty,vivek.shetty@tataenterprises.in,54871,2026-04-12,3,PENDING
INV-2025-0007,Sachin Menon,sachin.menon@ntpc.co.in,46319,2026-04-20,3,PENDING
INV-2025-0008,Divya Patil,divya.patil@mrf.co.in,95010,2026-04-30,2,PENDING
INV-2025-0009,Nikhil Bhat,nikhil.bhat@axisbank.in,116829,2026-05-02,0,PENDING
INV-2025-0010,Vinod Agarwal,vinod.agarwal@balkrishna.in,76856,2026-05-08,1,PENDING
INV-2025-0011,Dinesh Deshpande,dinesh.deshpande@nestleindia.com,767138,2026-05-11,0,PENDING
INV-2025-0012,Rahul Nair,rahul.nair@mrf.co.in,533306,2026-05-06,1,PENDING
INV-2025-0013,Priya Bhat,priya.bhat@crompton.in,493676,2026-05-23,0,PENDING
INV-2025-0014,Anil Sen,anil.sen@techsolutions.in,13630,2026-04-14,4,PENDING
INV-2025-0015,Girish Patil,girish.patil@cipla.co.in,10008,2026-04-29,0,PENDING
INV-2025-0016,Rahul Khanna,rahul.khanna@iocl.co.in,15076,2026-05-25,0,PENDING
INV-2025-0017,Rohan Rajan,rohan.rajan@biocon.com,41828,2026-05-03,1,PENDING
INV-2025-0018,Shruti Shukla,shruti.shukla@finolex.in,309186,2026-04-28,1,PENDING
INV-2025-0019,Swati Pillai,swati.pillai@icicibank.co.in,69313,2026-05-02,0,PENDING
INV-2025-0020,Neha Verma,neha.verma@tataenterprises.in,68309,2026-05-06,0,PENDING
INV-2025-0021,Nisha Mehta,nisha.mehta@crompton.in,911366,2026-04-15,2,PENDING
INV-2025-0022,Arjun Nambiar,arjun.nambiar@colgate.co.in,16609,2026-04-20,1,PENDING
INV-2025-0023,Neha Srinivasan,neha.srinivasan@crompton.in,39322,2026-05-01,1,PENDING
INV-2025-0024,Rekha Saxena,rekha.saxena@havells.com,13185,2026-05-10,0,PENDING
INV-2025-0025,Meera Rajan,meera.rajan@powergrid.in,754615,2026-05-06,0,PENDING
