invoice_no,client_name,client_email,amount,due_date,follow_up_count,status
TCI-2026-0001,Dhruv Yadav,dhruv.yadav@byju.com,9358,2026-05-06,0,PENDING
TCI-2026-0002,Mishti Handa,mishti.handa@byju.com,67331,2026-04-13,3,PENDING
TCI-2026-0003,Falguni Wadhwa,falguni.wadhwa@unacademy.com,248163,2026-05-26,0,PENDING
TCI-2026-0004,Advait Fernandes,advait.fernandes@postman.com,13867,2026-04-30,2,PENDING
TCI-2026-0005,Reyansh Datta,reyansh.datta@druva.com,196294,2026-05-15,0,PENDING
TCI-2026-0006,Mihir Chawla,mihir.chawla@itc.in,9320,2026-05-15,0,PENDING
TCI-2026-0007,Tanya Wadhwa,tanya.wadhwa@persistent.com,17230,2026-05-29,0,PENDING
TCI-2026-0008,Aarav Yadav,aarav.yadav@boAt.in,7950,2026-04-22,2,PENDING
TCI-2026-0009,Navya Zaveri,navya.zaveri@persistent.com,7640,2026-05-29,0,PENDING
TCI-2026-0010,Neel Jain,neel.jain@itc.in,28150,2026-05-08,1,PENDING
TCI-2026-0011,Ishaan Nagpal,ishaan.nagpal@amul.coop,70499,2026-04-17,3,PENDING
TCI-2026-0012,Ananya Wadhwa,ananya.wadhwa@zomato.com,19924,2026-05-06,1,PENDING
TCI-2026-0013,Dev Zaveri,dev.zaveri@1mg.com,17068,2026-05-09,1,PENDING
TCI-2026-0014,Pranav Zaveri,pranav.zaveri@techmahindra.com,35087,2026-04-23,1,PENDING
TCI-2026-0015,Falguni Upadhyay,falguni.upadhyay@unacademy.com,11682,2026-02-15,4,PENDING
TCI-2026-0016,Arjun Jolly,arjun.jolly@groww.in,71655,2026-03-08,4,PENDING
TCI-2026-0017,Gauri Sinha,gauri.sinha@rivigo.com,1011188,2026-05-07,0,PENDING
TCI-2026-0018,Kabir Agrawal,kabir.agrawal@mdt.co.in,65504,2026-01-14,3,PENDING
TCI-2026-0019,Aishwarya Trehan,aishwarya.trehan@meesho.com,68694,2026-04-26,1,PENDING
TCI-2026-0020,Rudra Zaveri,rudra.zaveri@zerodha.com,7180,2026-04-27,2,PENDING
TCI-2026-0021,Diya Jolly,diya.jolly@mindtree.com,1084939,2026-04-28,2,PENDING
TCI-2026-0022,Mishti Trehan,mishti.trehan@cyient.com,12920,2026-04-17,4,PENDING
TCI-2026-0023,Aditya Dalal,aditya.dalal@rivigo.com,221074,2026-05-09,1,PENDING
TCI-2026-0024,Dhruv Luthra,dhruv.luthra@meesho.com,437010,2026-04-12,3,PENDING
TCI-2026-0025,Sia Luthra,sia.luthra@pharmeasy.in,785660,2026-05-06,1,PENDING
TCI-2026-0026,Rudra Khatri,rudra.khatri@zomato.com,11350,2026-05-06,0,PENDING
TCI-2026-0027,Dev Uppal,dev.uppal@infosys.com,253422,2026-04-21,2,PENDING
TCI-2026-0028,Ishan Qureshi,ishan.qureshi@freshworks.com,7961,2026-05-26,0,PENDING
TCI-2026-0029,Sara Mehra,sara.mehra@hcl.com,13073,2026-04-22,1,PENDING
TCI-2026-0030,Bhavya Madan,bhavya.madan@ola.in,146513,2026-05-16,0,PENDING
TCI-2026-0031,Neel Mehra,neel.mehra@zoho.com,15089,2026-04-17,4,PENDING
TCI-2026-0032,Krishna Iyengar,krishna.iyengar@policybazaar.com,837639,2026-05-17,0,PENDING
TCI-2026-0033,Mishti Rastogi,mishti.rastogi@hcl.com,277683,2026-04-12,2,PENDING
